user_id,model,n_train,n_test,accuracy,precision,recall,f1_score,brier_score,rmse,auc
42,RandomForest+Platt,255,55,0.8909090909090909,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.08368830233730605,0.2892893056047977,0.9543010752688171
42,RF+OptimalThreshold,255,55,0.8363636363636363,0.7586206896551724,0.9166666666666666,0.8301886792452831,0.08368830233730605,0.2892893056047977,0.9543010752688171
42,LogisticRegression,255,55,0.8909090909090909,0.8461538461538461,0.9166666666666666,0.88,0.08842051192125427,0.29735586747406595,0.950268817204301
43,DecisionTree,255,55,0.9090909090909091,0.9285714285714286,0.896551724137931,0.9122807017543859,0.08431971587438851,0.2903785733734301,0.9230769230769231
43,RandomForest+Platt,255,55,0.8727272727272727,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.09158230187474554,0.30262567947010965,0.9628647214854111
43,RF+OptimalThreshold,255,55,0.8727272727272727,1.0,0.7586206896551724,0.8627450980392157,0.09158230187474554,0.30262567947010965,0.9628647214854111
43,LogisticRegression,255,55,0.9272727272727272,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.05770238499679637,0.2402132073737753,0.9827586206896552
44,DecisionTree,255,55,0.8727272727272727,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.11301763020160129,0.3361809486000081,0.8829201101928374
44,RandomForest+Platt,255,55,0.8909090909090909,1.0,0.7272727272727273,0.8421052631578947,0.10356907752017243,0.321821499468529,0.9628099173553719
44,RF+OptimalThreshold,255,55,0.8727272727272727,1.0,0.6818181818181818,0.8108108108108109,0.10356907752017243,0.321821499468529,0.9628099173553719
